code	occupation	gender	conversations	birth-region	age-range	study-level	mothertongue	age-of-arrival-italy	years-in-italy
PST104	0-Unemployed	F	STCS005	peru	36-40	middle-school	spagnolo	26-30	08-09
PST105	5-Service-Workers	F	STCS005	peru	31-35	foreign-diploma	spagnolo	26-30	08-09
PST106	0-Students	F	STIA019	piemonte	26-30	university-degree-ongoing	italiano; arabo	N/A	N/A
PST107	6-Craft-Workers	M	STCA002;STCA003;STCA004	marocco	31-35	middle-school	arabo	16-20	16-17
PST108	6-Craft-Workers	M	STCA002;STCA003;STCA004	marocco	31-35	middle-school	arabo	16-20	16-17
PST109	5-Service-Workers	M	STCA004	marocco	26-30	foreign-diploma	arabo	21-25	06-07
PST110	6-Craft-Workers	M	STCA002;STCA003;STCA004	marocco	26-30	middle-school	arabo	21-25	02-03
PST112	0-Students	F	STCS006	marche	26-30	university-degree	italiano	N/A	N/A
PST113	5-Service-Workers	M	STCS006	piemonte	21-25	technical-vocational-diploma	italiano	N/A	N/A
PST114	2-Professionals	M	STCS006	piemonte	31-35	university-degree	italiano	N/A	N/A
PST115	0-Students	F	STCS006	venezuela	21-25	university-degree-ongoing	italiano	06-10	discontinuo
PST118	0-Students	F	STCR015	piemonte	16-20	university-degree-ongoing	italiano	N/A	N/A
PST119	6-Craft-Workers	F	STCR015	romania	46-50	foreign-diploma	romeno; italiano	26-30	22-23
PST120	6-Craft-Workers	M	STCR015	romania	46-50	foreign-diploma	romeno; italiano	21-25	24-25
